autoNo if host in,"	"
 ,
host,
Tardigrada.*,
foliage,
Ascomycota.*,
NPK,
Stream.*,
apple,
.*fish,
lotus,
Cladoniaceae.*,
Physciaceae.*,
Parmeliaceae.*,
Peltigeraceae.*,
.*python,
.*grass,
Matsumurasca onukii,
Embioptera,
Tettigoniidae,
Triozid.*,
unavailable,
heteropteran.*,
corn,
Homoptera.*,
Hemiptera.*,
Dermaptera.*,
Hymenoptera.*,
Orthoptera.*,
Lepidotera.*,
Tegulaherpia.*,
.*algae,
.*chestnut,
natual,
Physonectae.*,
.*mice,
.*lesion,
Ampeliscidae.*,
Hyalidae.*,
Negative control,
.*coral,
Goat,
Lyngbya.*,
Mangrove,
Myriapoda.*,
microalga,
Mycale.*,
Nematod.*,
Notonectidae.*,
Niphatidae.*,
Niphates.*,
Neofibularia.*,
Lineidae.*,
Llamelodysidea.*,
Kiwifruit.*,
Lepidoptera.*,
Lanai.*,
ligustrum,
Laridae.*,
Latrunulia.*,
Latuca.*,
Leialoha.*,
kiwa.*,
Holstein,
.*gills.*,
iguana,
Isoptera,
Kea.*,
Hydrachnidae,
Hirudinea.*,
Hylastes.*,
Hexadella.*,
Hepialis.*,
Helconica.*,
.*Pinus.*,
Haplosclerida.*,
Ulmus_sp,
Algae,
.*berry,
Fungi,
Alpaca,
Onion,
bamboo,
Duck,
goose,
Primate,
canine,
Crow,
melon,
blackberry,
Lettuce,
metagenome,
Vulpia,
Poa_sp.,
aphid,
no collected,
seagull,
The natural,
cantaloupe.*,
.*cantaloupe,
Pumpkin,
.*squash,
plum,
chinese okra,
spider,
coral,
.*rice.*,
Plebeia flavoscutellata.*,
lake,
feces.*,
Plastic,
mission,
Velvet,
Genus sp.,
donkey,
Trichoptera sp.,
Larval Fish sp.,
Synechococcus.*,
Quercussp. sp.,
.*corals,
Haplosyllis_sp,
ginger,
Flatworm,
Barnacle,
Grape,
not application,
Intestinal Microbiota,
.*worm,
shrimp,
truffle,
Moose,
sheep,
Molasses,
Cactaceae,
Amaranthaceae,
pepper,
Paddy,
uranium.*,
Tortoise,
Yeast.*,
Canus lupus,
small puddles,
Ujumqin sheep,
penguin,
Anthoza,
Cockroach,
Coccidae sp.,
Asteraceae sp.,
Euphorbiaceae sp.,
Chrysobalanaceae sp.,
_Lithophyllum_sp._CCA,
Turbinarea_sp.,
Hormorphosia_sp.,
Galaxaura_sp.,
person,
rubber tree,
Anura sp.,
algae,
Anthoza,
Aleyrodidae,
Asian citrus psyllid,
Synechosystis,
Xestosponiga.*,
TETRASELraselmis sp.,
CHAETOCEtoceros sp.,
ISOCHRYSchrysis sp.,
Legume sp.,
Favites_sp,
Paguroidea_sp,
Tridacna_sp,
Paguroidea_sp,
Ophiuroidea_sp,
Comatulida_sp,
Bohadschia_sp,
Platygyra_sp,
Montipora_sp,
grassland,
Samo salar,
Yak,
Apsterostigma,
Caryae sp.,
canola,
Bird,
Cervidae.*,
Insect,
Mammal,
Montastrea.*,
not applicale,
not collection,
pear,
pig,
Ponerinae,
quaking aspen,
rape,
Reptile,
rose,
Symphyllia.*,
termite.*,
.*wheat.*,
wheatgrass,
Potato,
Suricat,
Spelbia.*,
Sylviagus.*,
Spaniomolgus.*,
Symploca.*,
Tedaniidae.*,
Synchocystis.*,
Tunicata.*,
Dassie,
Turbinot.*,
Fagales_sp.*,
Wasp.*,
Halimeda.*,
Chlorodesmis.*,
Barypthangus.*,
barley,
Batflies,
hamster,
Boophilus.*,
Brasillia.*,
Black coral,
bitter gourd,
Bandicoot.*,
Arecaceae.*,
Araneae.*,
Apocynaceae.*,
Apistonema.*,
Anthomyiidae.*,
Antho_sp,
Anaplasmataceae,
Anacardiaceae.*,
Amphimedon.*,
ambrosia.*,
Alexandium.*,
Alder.*,
Albizzia.*,
Actinopterygii.*,
.*Scopalina.*,
Tydemania.*,
undescribed.*,
.*Chiken,
Various,
Vervet,
WH7803,
.*saki,
.*sponge,
Broussaisia,
calanoid copepod,
In vitro cultured,
Chaldicoidea.*,
turkey,
Mine,
come from.*,
Coccolithophora.*,
Cnidaria.*,
Clathria.*,
Chamelocium.*,
Cirsium.*,
Invertebrate,
Callyspongia.*,
NA,
Sulfurina.*,
.*factory,
Cavendish.*,
Pterocyclos.*,
Montastrea_sp,
Lobophyllia_sp,
Goniopora_sp,
Echinopora_sp,
Favia_sp,
Isopora_sp,
Favia_sp,
Sarcophyton_sp,
free living,
marine algae,
unknow.sp,
Zebrafish,
radish,
marine fish,
Fungus,
dandelion,
S. plicata,
diatom,
sponge,
diatom,
sweet potato,
golden-headed lion tamarin,
Goeldi's marmoset,
date palm.*,
Blueberry,
plateau pika,
G. soja WSD,
G. max.*,
fish,
Sprague-Dawley,
Pollen,
enviromental,
Synthetic_community,
Angiosperm,
M. Planipes,
L. philipiana,
G. avellana,
E. cordifolia,
E. coccinum,
C. paniculata,
Mosquito,
laboratory,
peach,
rainbow trout,
not_applicable,
Not available,
Homo_sapiens,
"""""",
"""Bacteria""",
.*bacteria.*,
.*bear.*,
.*bison.*,
.*bovine.*,
.*Capra.*,
.*Cervus.*,
.*cheese.*,
.*chicken,
.*crab*,
.*dog.*,
.*dolphin.*,
.*earth.*,
.*environmental.*,
.*estuarine.*,
.*Homo sapiens.*,
.*invertebrates.*,
.*Jacksonia.*,
.*microbes.*,
.*microbial.*,
.*milk.*,
.*musculus.*,
.*ocean.*,
.*plant.*,
.*prokaryote,
.*Ptilotus.*,
.*rats.*,
.*Rattus.*,
.*scrofa.*,
.*seawater.*,
.*sediment,
.*sludge.*,
.*soil.*,
.*taurus.*,
.*tuberosum,
.*unifasciata,
.*water.*,
A. chilensis,
A. luma,
A. punctatum,
Abutilon palmeri,
Acer palmatum,
Achromobacter.*,
Aerosol sample.*,
African bull frog,
air samples,
Alces alces,
Alexandrium minutum,
Alpine meadow soil,
Ammophila.*,
Anaerobic sludge,
Anastrepha ludens.*,
Angelica sinensis.*,
Animal.*,
Antrozous pallidus,
Aplidium,
Apodemus.*,
Apostichopus japonicus,
aquatic metagenome,
Atemnus politus,
atmosphere,
Atta texana,
autoNo if host in,
bacteria,
bacterial,
BALB/c,
Banana.*,
Bandicota indica,
biocrust.*,
Bos grunniens,
Bos indicus.*,
Bos taurus,
Bradyrhizobium japonicum,
Branta canadensis,
Brassica juncea var. tumida,
Briareum.*,
brolier chicken,
Burkholderia.*,
Burnupena lagenaria.*,
Callyspongia diffusa,
Calyptocephallela gayi,
Camellia sinensis,
Canis.*,
caprine,
Cassiope tetragona,
cat,
cattle,
Cherry,
Chesse fermentation tank,
Chicken,
Chinchilla.*,
Chiroptera,
Chlorella sorokiniana,
Chrysomelidae,
Cistanthe,
citrus,
tomato,
.*lettuce,
Citrus.*,
Coalho goat cheese surface,
coffee,
AAA,
Cornu aspersum,
cotton,
cow.*,
